Team_Name,Season,Squad_Value_Total,Squad_Value_Mean,Squad_Size,Season_Year
Southampton FC,0304,0.0,,0,2003
Southampton FC,0405,85475000.0,2084756.0975609757,41,2004
Southampton FC,1213,83050000.0,2679032.2580645164,31,2012
Southampton FC,1314,131500000.0,4870370.37037037,27,2013
Southampton FC,1415,210250000.0,6782258.064516129,31,2014
Southampton FC,1516,225500000.0,7274193.548387097,31,2015
Southampton FC,1617,263750000.0,7992424.242424242,33,2016
Southampton FC,1718,297000000.0,10607142.857142856,28,2017
Southampton FC,1819,305400000.0,8725714.285714285,35,2018
Southampton FC,1920,210750000.0,7267241.379310345,29,2019
Southampton FC,2021,282800000.0,7442105.263157895,38,2020
Southampton FC,2122,274300000.0,8848387.096774194,31,2021
Southampton FC,2223,419950000.0,9998809.523809524,42,2022
Southampton FC,2425,279800000.0,8229411.764705882,34,2024
Southampton FC,9293,0.0,,0,1992
Southampton FC,9394,0.0,,0,1993
Southampton FC,9495,0.0,,0,1994
Southampton FC,9596,0.0,,0,1995
Southampton FC,9697,0.0,,0,1996
Southampton FC,9798,0.0,,0,1997
Southampton FC,9899,0.0,,0,1998
Southampton FC,9900,0.0,,0,1999
Stoke City,0809,55650000.0,1918965.5172413792,29,2008
Stoke City,0910,80700000.0,2241666.6666666665,36,2009
Stoke City,1011,94450000.0,2862121.212121212,33,2010
Stoke City,1112,81650000.0,2721666.6666666665,30,2011
Stoke City,1213,104050000.0,3587931.0344827585,29,2012
Stoke City,1314,101500000.0,3625000.0,28,2013
Stoke City,1415,110500000.0,3946428.5714285714,28,2014
Stoke City,1516,147000000.0,5250000.0,28,2015
Stoke City,1617,186000000.0,6200000.0,30,2016
Stoke City,1718,192450000.0,5831818.181818182,33,2017
Sunderland AFC,0001,0.0,,0,2000
Sunderland AFC,0102,0.0,,0,2001
Sunderland AFC,0203,0.0,,0,2002
Sunderland AFC,0506,29150000.0,1041071.4285714285,28,2005
Sunderland AFC,0708,81800000.0,1995121.9512195121,41,2007
Sunderland AFC,0809,88850000.0,2866129.0322580645,31,2008
Sunderland AFC,0910,131575000.0,3759285.714285714,35,2009
Sunderland AFC,1011,149325000.0,4266428.571428572,35,2010
Sunderland AFC,1112,126500000.0,3953125.0,32,2011
Sunderland AFC,1213,131400000.0,4692857.142857143,28,2012
Sunderland AFC,1314,122000000.0,3485714.285714286,35,2013
Sunderland AFC,1415,91000000.0,3250000.0,28,2014
Sunderland AFC,1516,111250000.0,3371212.121212121,33,2015
Sunderland AFC,1617,132000000.0,4000000.0,33,2016
Sunderland AFC,2526,424925000.0,12876515.151515152,33,2025
Sunderland AFC,2627,392875000.0,12673387.096774194,31,2026
Sunderland AFC,9697,0.0,,0,1996
Sunderland AFC,9900,0.0,,0,1999
Swansea City,1112,75600000.0,2520000.0,30,2011
Swansea City,1213,102000000.0,3642857.1428571427,28,2012
Swansea City,1314,128700000.0,4437931.0344827585,29,2013
Swansea City,1415,130750000.0,4217741.935483871,31,2014
Swansea City,1516,145800000.0,4860000.0,30,2015
Swansea City,1617,157100000.0,4363888.888888889,36,2016
Swansea City,1718,165490000.0,5014848.484848484,33,2017
Swindon Town,9394,0.0,,0,1993
Tottenham Hotspur,0001,0.0,,0,2000
Tottenham Hotspur,0102,0.0,,0,2001
Tottenham Hotspur,0203,0.0,,0,2002
Tottenham Hotspur,0304,0.0,,0,2003
Tottenham Hotspur,0405,129450000.0,3595833.3333333335,36,2004
Tottenham Hotspur,0506,150325000.0,5010833.333333333,30,2005
Tottenham Hotspur,0607,165729999.0,4479189.162162162,37,2006
Tottenham Hotspur,0708,218650000.0,6430882.352941177,34,2007
Tottenham Hotspur,0809,239900000.0,7738709.677419355,31,2008
Tottenham Hotspur,0910,263525000.0,7320138.888888889,36,2009
Tottenham Hotspur,1011,307075000.0,8299324.324324325,37,2010
Tottenham Hotspur,1112,323300000.0,8737837.837837838,37,2011
Tottenham Hotspur,1213,295750000.0,8962121.212121213,33,2012
Tottenham Hotspur,1314,288950000.0,9631666.666666666,30,2013
Tottenham Hotspur,1415,304150000.0,8220270.27027027,37,2014
Tottenham Hotspur,1516,371850000.0,13772222.222222222,27,2015
Tottenham Hotspur,1617,543650000.0,15989705.88235294,34,2016
Tottenham Hotspur,1718,829600000.0,27653333.333333332,30,2017
Tottenham Hotspur,1819,898600000.0,29953333.333333332,30,2018
Tottenham Hotspur,1920,806800000.0,25212500.0,32,2019
Tottenham Hotspur,2021,703500000.0,18513157.89473684,38,2020
Tottenham Hotspur,2122,689350000.0,19148611.111111112,36,2021
Tottenham Hotspur,2223,649100000.0,20938709.677419353,31,2022
Tottenham Hotspur,2324,838500000.0,21500000.0,39,2023
Tottenham Hotspur,2425,769600000.0,24825806.451612905,31,2024
Tottenham Hotspur,2526,713000000.0,22281250.0,32,2025
Tottenham Hotspur,2627,920500000.0,25569444.444444444,36,2026
Tottenham Hotspur,9293,0.0,,0,1992
Tottenham Hotspur,9394,0.0,,0,1993
Tottenham Hotspur,9495,0.0,,0,1994
Tottenham Hotspur,9596,0.0,,0,1995
Tottenham Hotspur,9697,0.0,,0,1996
Tottenham Hotspur,9798,0.0,,0,1997
Tottenham Hotspur,9899,0.0,,0,1998
Tottenham Hotspur,9900,0.0,,0,1999
Watford FC,0607,32870000.0,966764.7058823529,34,2006
Watford FC,1516,137000000.0,3605263.1578947366,38,2015
Watford FC,1617,175650000.0,4391250.0,40,2016
Watford FC,1718,196000000.0,5764705.882352941,34,2017
Watford FC,1819,239100000.0,6130769.230769231,39,2018
Watford FC,1920,199600000.0,6048484.848484849,33,2019
Watford FC,2122,156200000.0,3809756.0975609757,41,2021
Watford FC,9900,0.0,,0,1999
West Bromwich Albion,0203,0.0,,0,2002
West Bromwich Albion,0405,50400000.0,1680000.0,30,2004
West Bromwich Albion,0506,65500000.0,2258620.6896551726,29,2005
West Bromwich Albion,0809,64749999.0,2158333.3,30,2008
West Bromwich Albion,1011,86875000.0,2632575.757575758,33,2010
West Bromwich Albion,1112,69550000.0,2243548.3870967743,31,2011
West Bromwich Albion,1213,93500000.0,3462962.962962963,27,2012
West Bromwich Albion,1314,90000000.0,3214285.714285714,28,2013
West Bromwich Albion,1415,95950000.0,3308620.6896551726,29,2014
West Bromwich Albion,1516,113100000.0,4039285.714285714,28,2015
West Bromwich Albion,1617,123200000.0,4562962.962962963,27,2016
West Bromwich Albion,1718,165950000.0,5722413.793103448,29,2017
West Bromwich Albion,2021,141150000.0,4032857.1428571427,35,2020
West Ham United,0001,0.0,,0,2000
West Ham United,0102,0.0,,0,2001
West Ham United,0203,0.0,,0,2002
West Ham United,0506,57250000.0,2201923.076923077,26,2005
West Ham United,0607,108050000.0,2920270.2702702703,37,2006
West Ham United,0708,119200000.0,3505882.3529411764,34,2007
West Ham United,0809,102700000.0,3950000.0,26,2008
West Ham United,0910,123750000.0,3535714.285714286,35,2009
West Ham United,1011,138850000.0,3752702.7027027025,37,2010
West Ham United,1213,102000000.0,3400000.0,30,2012
West Ham United,1314,109750000.0,3135714.285714286,35,2013
West Ham United,1415,135900000.0,4686206.8965517245,29,2014
West Ham United,1516,201325000.0,5441216.216216216,37,2015
West Ham United,1617,273050000.0,7379729.72972973,37,2016
West Ham United,1718,268100000.0,7660000.0,35,2017
West Ham United,1819,359000000.0,11218750.0,32,2018
West Ham United,1920,303600000.0,9793548.387096774,31,2019
West Ham United,2021,336400000.0,9091891.891891891,37,2020
West Ham United,2122,354900000.0,10754545.454545455,33,2021
West Ham United,2223,465600000.0,11938461.538461538,39,2022
West Ham United,2324,487500000.0,13928571.42857143,35,2023
West Ham United,2425,400300000.0,14825925.925925925,27,2024
West Ham United,2526,454425000.0,12983571.42857143,35,2025
West Ham United,9394,0.0,,0,1993
West Ham United,9495,0.0,,0,1994
West Ham United,9596,0.0,,0,1995
West Ham United,9697,0.0,,0,1996
West Ham United,9798,0.0,,0,1997
West Ham United,9899,0.0,,0,1998
West Ham United,9900,0.0,,0,1999
Wigan Athletic,0506,51870000.0,1921111.111111111,27,2005
Wigan Athletic,0607,58525000.0,2250961.5384615385,26,2006
Wigan Athletic,0708,61600000.0,2200000.0,28,2007
Wigan Athletic,0809,0.0,,0,2008
Wigan Athletic,0910,77600000.0,2282352.9411764704,34,2009
Wigan Athletic,1011,80500000.0,2875000.0,28,2010
Wigan Athletic,1112,74250000.0,2750000.0,27,2011
Wigan Athletic,1213,91550000.0,3051666.6666666665,30,2012
Wimbledon FC (- 2004),9293,0.0,,0,1992
Wimbledon FC (- 2004),9394,0.0,,0,1993
Wimbledon FC (- 2004),9495,0.0,,0,1994
Wimbledon FC (- 2004),9596,0.0,,0,1995
Wimbledon FC (- 2004),9697,0.0,,0,1996
Wimbledon FC (- 2004),9798,0.0,,0,1997
Wimbledon FC (- 2004),9899,0.0,,0,1998
Wimbledon FC (- 2004),9900,0.0,,0,1999
Wolverhampton Wanderers,0304,0.0,,0,2003
Wolverhampton Wanderers,0910,65475000.0,1870714.2857142857,35,2009
Wolverhampton Wanderers,1011,83550000.0,2320833.3333333335,36,2010
Wolverhampton Wanderers,1112,77050000.0,2568333.3333333335,30,2011
Wolverhampton Wanderers,1819,302900000.0,9178787.878787879,33,2018
Wolverhampton Wanderers,1920,320325000.0,9421323.529411765,34,2019
Wolverhampton Wanderers,2021,450300000.0,14071875.0,32,2020
Wolverhampton Wanderers,2122,376950000.0,11086764.705882354,34,2021
Wolverhampton Wanderers,2223,497650000.0,12441250.0,40,2022
Wolverhampton Wanderers,2324,442725000.0,11351923.076923076,39,2023
Wolverhampton Wanderers,2425,378900000.0,11144117.647058824,34,2024
Wolverhampton Wanderers,2526,318350000.0,10611666.666666666,30,2025
